model_type,placement_type,num_occluders,occluder_size,n,mean,sd,skew,kurtosis,shapiro_W,shapiro_p,normal_at_0p05
resnet50_tl_20250829,random,4,16,40,2.459060478210449,0.5998274737149255,-0.9705758126545964,1.2736910279662652,0.9222879106874864,0.009095171507755224,False
resnet50_tl_20250829,random,4,32,40,11.621712493896485,2.844704924205951,-0.2783293716134785,-0.5479417186264852,0.9696900492836595,0.3518534658422889,True
resnet50_tl_20250829,random,4,64,40,35.00993747711182,6.426270624222712,-0.48659589441493517,0.03992439400259373,0.9716158911273448,0.4043233690146739,True
resnet50_tl_20250829,random,4,8,40,0.5394956588745117,0.30914810729677844,0.15714758222447067,-0.16763203983696684,0.9789072377539234,0.649004297959636,True
resnet50_tl_20250829,random,5,16,40,2.6501373291015624,0.8445180481032883,-0.3531887536174205,-0.2502592212889767,0.9852268342888197,0.8711954267634896,True
resnet50_tl_20250829,random,5,32,40,11.164023208618165,3.1624111538259085,-0.7152974996377562,0.30337057848919047,0.9527322224629813,0.09418219356096788,True
resnet50_tl_20250829,random,5,64,40,42.593150520324706,6.019731213611293,-0.8257189283360685,0.9359508465400004,0.9449343902125846,0.050838936510549215,True
resnet50_tl_20250829,random,5,8,40,0.8412033081054687,0.29927956290275415,-0.4121213201070097,0.6507551646253327,0.9733582216135207,0.4566573090107732,True
resnet50_tl_20250829,random,6,16,40,4.216560173034668,1.28050377172897,-1.0862937926680116,1.6691618968752122,0.9206111510838962,0.008049922932759928,False
resnet50_tl_20250829,random,6,32,40,16.2275390625,3.0407421094247935,0.0757451416198382,0.26174837832724007,0.9906244595736543,0.9816445313091052,True
resnet50_tl_20250829,random,6,64,40,50.79013442993164,8.230844895487307,-1.4385305629547964,4.78961736094437,0.8790283458245874,0.0004955712010402235,False
resnet50_tl_20250829,random,6,8,40,0.7565893173217774,0.2621140100014373,0.5179761761999129,-0.38320954792023176,0.9545884263513429,0.10913795374766272,True
resnet50_tl_20250829,random,7,16,40,4.45157642364502,1.221617945793018,-1.0691069175921701,-0.07099647851889213,0.8477698280180679,7.945772150995303e-05,False
resnet50_tl_20250829,random,7,32,40,16.142778205871583,3.2091144326994625,-0.9932369323927915,2.78276935008486,0.9340471170063297,0.021876711807027736,False
