case_id,model_type,placement_type,num_occluders,occluder_size,occluder_id,x0,y0,width,height,size
ns_cow_202,resnet50_geirhos_tl,targeted,6,64,5,128,32,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,6,64,6,160,128,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,7,64,1,64,0,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,7,64,2,96,96,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,7,64,3,32,96,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,7,64,4,0,32,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,7,64,5,128,32,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,7,64,6,160,128,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,7,64,7,64,160,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,8,64,1,64,0,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,8,64,2,96,96,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,8,64,3,32,96,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,8,64,4,0,32,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,8,64,5,128,32,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,8,64,6,160,128,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,8,64,7,64,160,64,64,64
ns_cow_202,resnet50_geirhos_tl,targeted,8,64,8,0,160,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,1,64,1,32,96,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,2,64,1,64,0,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,2,64,2,96,64,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,3,64,1,160,128,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,3,64,2,0,160,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,3,64,3,64,64,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,4,64,1,32,64,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,4,64,2,128,128,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,4,64,3,32,128,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,4,64,4,96,0,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,5,64,1,128,32,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,5,64,2,160,128,64,64,64
