case_id,model_type,occluder_size,stride,placement_type,num_occluders,baseline_target_logit,post_occlusion_target_logit,target_logit_drop,baseline_pred_class,baseline_pred_class_name,post_occlusion_pred_class,post_occlusion_pred_class_name,baseline_confidence,post_occlusion_confidence
s_bird_17,texture_biased,16,1,targeted,6,160.50514221191406,151.6024932861328,8.90264892578125,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,16,1,targeted,7,160.50514221191406,151.00729370117188,9.497848510742188,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,16,1,targeted,8,160.50514221191406,149.23887634277344,11.266265869140625,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,16,1,random,1,160.50514221191406,159.7369842529297,0.768157958984375,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,16,1,random,2,160.50514221191406,158.9882049560547,1.516937255859375,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,16,1,random,3,160.50514221191406,159.13038635253906,1.374755859375,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,16,1,random,4,160.50514221191406,157.33030700683594,3.174835205078125,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,16,1,random,5,160.50514221191406,158.7515411376953,1.75360107421875,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,16,1,random,6,160.50514221191406,154.79908752441406,5.7060546875,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,16,1,random,7,160.50514221191406,155.5127716064453,4.99237060546875,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,16,1,random,8,160.50514221191406,156.8800811767578,3.62506103515625,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,32,1,targeted,1,160.50514221191406,153.95010375976562,6.5550384521484375,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,32,1,targeted,2,160.50514221191406,150.26040649414062,10.244735717773438,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,32,1,targeted,3,160.50514221191406,144.46548461914062,16.039657592773438,17,dog,17,dog,1.0,0.9999986886978149
s_bird_17,texture_biased,32,1,targeted,4,160.50514221191406,138.89697265625,21.608169555664062,17,dog,17,dog,1.0,0.9877514839172363
s_bird_17,texture_biased,32,1,targeted,5,160.50514221191406,132.89447021484375,27.610671997070312,17,dog,41,shark,1.0,0.843055009841919
s_bird_17,texture_biased,32,1,targeted,6,160.50514221191406,129.36578369140625,31.139358520507812,17,dog,41,shark,1.0,0.9905607104301453
s_bird_17,texture_biased,32,1,targeted,7,160.50514221191406,127.4482421875,33.05690002441406,17,dog,41,shark,1.0,0.982775866985321
s_bird_17,texture_biased,32,1,targeted,8,160.50514221191406,124.10076904296875,36.40437316894531,17,dog,41,shark,1.0,0.9992189407348633
s_bird_17,texture_biased,32,1,random,1,160.50514221191406,158.6387481689453,1.86639404296875,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,32,1,random,2,160.50514221191406,151.65969848632812,8.845443725585938,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,32,1,random,3,160.50514221191406,152.60305786132812,7.9020843505859375,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,32,1,random,4,160.50514221191406,148.86032104492188,11.644821166992188,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,32,1,random,5,160.50514221191406,143.4103240966797,17.094818115234375,17,dog,17,dog,1.0,0.9999998807907104
s_bird_17,texture_biased,32,1,random,6,160.50514221191406,143.33401489257812,17.171127319335938,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,32,1,random,7,160.50514221191406,138.3000946044922,22.205047607421875,17,dog,17,dog,1.0,0.9999794960021973
s_bird_17,texture_biased,32,1,random,8,160.50514221191406,134.31060791015625,26.194534301757812,17,dog,17,dog,1.0,0.9981385469436646
s_bird_17,texture_biased,64,1,targeted,1,160.50514221191406,145.62159729003906,14.883544921875,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,64,1,targeted,2,160.50514221191406,130.43133544921875,30.073806762695312,17,dog,17,dog,1.0,0.9999724626541138
s_bird_17,texture_biased,64,1,targeted,3,160.50514221191406,118.86344909667969,41.641693115234375,17,dog,17,dog,1.0,0.9642857313156128
s_bird_17,texture_biased,64,1,targeted,4,160.50514221191406,107.7829818725586,52.72216033935547,17,dog,41,shark,1.0,0.7626712918281555
s_bird_17,texture_biased,64,1,targeted,5,160.50514221191406,99.53742218017578,60.96772003173828,17,dog,41,shark,1.0,0.9226823449134827
s_bird_17,texture_biased,64,1,targeted,6,160.50514221191406,91.61824798583984,68.88689422607422,17,dog,41,shark,1.0,0.9629108905792236
s_bird_17,texture_biased,64,1,targeted,7,160.50514221191406,85.71432495117188,74.79081726074219,17,dog,41,shark,1.0,0.715279221534729
s_bird_17,texture_biased,64,1,targeted,8,160.50514221191406,85.71432495117188,74.79081726074219,17,dog,41,shark,1.0,0.715279221534729
s_bird_17,texture_biased,64,1,random,1,160.50514221191406,146.5365753173828,13.96856689453125,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,64,1,random,2,160.50514221191406,152.29434204101562,8.210800170898438,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,64,1,random,3,160.50514221191406,137.95474243164062,22.550399780273438,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,64,1,random,4,160.50514221191406,118.71589660644531,41.78924560546875,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,64,1,random,5,160.50514221191406,119.12679290771484,41.37834930419922,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,64,1,random,6,160.50514221191406,100.82400512695312,59.68113708496094,17,dog,17,dog,1.0,1.0
s_bird_17,texture_biased,64,1,random,7,160.50514221191406,97.1914291381836,63.31371307373047,17,dog,17,dog,1.0,0.9998737573623657
s_bird_17,texture_biased,64,1,random,8,160.50514221191406,81.54219818115234,78.96294403076172,17,dog,17,dog,1.0,0.9879095554351807
