case_id,model_type,occluder_size,stride,y0,x0,y_center,x_center,baseline_pred_class,baseline_pred_class_name,post_occlusion_pred_class,post_occlusion_pred_class_name,baseline_target_logit,post_occlusion_target_logit,target_logit_drop,baseline_confidence,post_occlusion_confidence,prediction_changed,baseline_class_still_top1
s_bird_17,shape_biased,8,4,0,156,4.0,160.0,5,bird,18,dolphin,5.135880470275879,4.96497917175293,0.17090129852294922,0.27608194947242737,0.2586131989955902,1,0
s_bird_17,shape_biased,8,4,0,160,4.0,164.0,5,bird,18,dolphin,5.135880470275879,4.940104007720947,0.19577646255493164,0.27608194947242737,0.2642821967601776,1,0
s_bird_17,shape_biased,8,4,0,164,4.0,168.0,5,bird,18,dolphin,5.135880470275879,4.936710357666016,0.19917011260986328,0.27608194947242737,0.2620464265346527,1,0
s_bird_17,shape_biased,8,4,0,168,4.0,172.0,5,bird,18,dolphin,5.135880470275879,4.949066162109375,0.1868143081665039,0.27608194947242737,0.2679489254951477,1,0
s_bird_17,shape_biased,8,4,0,172,4.0,176.0,5,bird,18,dolphin,5.135880470275879,4.980136871337891,0.15574359893798828,0.27608194947242737,0.2622009217739105,1,0
s_bird_17,shape_biased,8,4,0,176,4.0,180.0,5,bird,18,dolphin,5.135880470275879,4.967331409454346,0.1685490608215332,0.27608194947242737,0.2693132162094116,1,0
s_bird_17,shape_biased,8,4,0,180,4.0,184.0,5,bird,18,dolphin,5.135880470275879,4.968043804168701,0.16783666610717773,0.27608194947242737,0.26650702953338623,1,0
s_bird_17,shape_biased,8,4,0,184,4.0,188.0,5,bird,18,dolphin,5.135880470275879,4.94386100769043,0.19201946258544922,0.27608194947242737,0.2753158211708069,1,0
s_bird_17,shape_biased,8,4,0,188,4.0,192.0,5,bird,18,dolphin,5.135880470275879,4.960631847381592,0.1752486228942871,0.27608194947242737,0.2749934792518616,1,0
s_bird_17,shape_biased,8,4,0,192,4.0,196.0,5,bird,18,dolphin,5.135880470275879,4.930812835693359,0.20506763458251953,0.27608194947242737,0.2754547595977783,1,0
s_bird_17,shape_biased,8,4,0,196,4.0,200.0,5,bird,18,dolphin,5.135880470275879,4.939280033111572,0.19660043716430664,0.27608194947242737,0.2720524072647095,1,0
s_bird_17,shape_biased,8,4,0,200,4.0,204.0,5,bird,18,dolphin,5.135880470275879,4.955369472503662,0.1805109977722168,0.27608194947242737,0.27406367659568787,1,0
s_bird_17,shape_biased,8,4,0,204,4.0,208.0,5,bird,18,dolphin,5.135880470275879,4.982028961181641,0.15385150909423828,0.27608194947242737,0.2681407630443573,1,0
s_bird_17,shape_biased,8,4,0,208,4.0,212.0,5,bird,18,dolphin,5.135880470275879,4.920786380767822,0.21509408950805664,0.27608194947242737,0.2773568630218506,1,0
s_bird_17,shape_biased,8,4,0,212,4.0,216.0,5,bird,18,dolphin,5.135880470275879,4.959195137023926,0.17668533325195312,0.27608194947242737,0.26908281445503235,1,0
s_bird_17,shape_biased,8,4,0,216,4.0,220.0,5,bird,18,dolphin,5.135880470275879,4.939410209655762,0.1964702606201172,0.27608194947242737,0.2630007863044739,1,0
s_bird_17,shape_biased,8,4,4,0,8.0,4.0,5,bird,18,dolphin,5.135880470275879,4.753523349761963,0.382357120513916,0.27608194947242737,0.25052738189697266,1,0
s_bird_17,shape_biased,8,4,4,4,8.0,8.0,5,bird,18,dolphin,5.135880470275879,4.74798059463501,0.38789987564086914,0.27608194947242737,0.25631049275398254,1,0
s_bird_17,shape_biased,8,4,4,8,8.0,12.0,5,bird,18,dolphin,5.135880470275879,4.713418960571289,0.42246150970458984,0.27608194947242737,0.2743198871612549,1,0
s_bird_17,shape_biased,8,4,4,12,8.0,16.0,5,bird,18,dolphin,5.135880470275879,4.684695720672607,0.4511847496032715,0.27608194947242737,0.28267064690589905,1,0
s_bird_17,shape_biased,8,4,4,16,8.0,20.0,5,bird,18,dolphin,5.135880470275879,4.707537651062012,0.4283428192138672,0.27608194947242737,0.2889978289604187,1,0
s_bird_17,shape_biased,8,4,4,20,8.0,24.0,5,bird,18,dolphin,5.135880470275879,4.708706855773926,0.4271736145019531,0.27608194947242737,0.2892959713935852,1,0
s_bird_17,shape_biased,8,4,4,24,8.0,28.0,5,bird,18,dolphin,5.135880470275879,4.745027542114258,0.3908529281616211,0.27608194947242737,0.29730960726737976,1,0
s_bird_17,shape_biased,8,4,4,28,8.0,32.0,5,bird,18,dolphin,5.135880470275879,4.753182411193848,0.38269805908203125,0.27608194947242737,0.3016226887702942,1,0
s_bird_17,shape_biased,8,4,4,32,8.0,36.0,5,bird,18,dolphin,5.135880470275879,4.771857261657715,0.36402320861816406,0.27608194947242737,0.30136677622795105,1,0
