case_id,model_type,occluder_size,stride,x0,y0,x_center,y_center,x0_norm,y0_norm,x1_norm,y1_norm,x_center_norm,y_center_norm,baseline_target_logit,post_occlusion_target_logit,target_logit_drop,intersects_shape,source_file
ns_dog_214,resnet50_tl_20250829,16,8,96,176,104.0,184.0,0.42857142857142855,0.7857142857142857,0.5,0.8571428571428571,0.4642857142857143,0.8214285714285714,134.8970947265625,132.9819793701172,1.9151153564453125,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_214/resnet50_tl_20250829/position_scores_size_16.csv
ns_dog_214,resnet50_tl_20250829,32,16,112,144,128.0,160.0,0.5,0.6428571428571429,0.6428571428571429,0.7857142857142857,0.5714285714285714,0.7142857142857143,134.8970947265625,128.2566680908203,6.640426635742188,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_214/resnet50_tl_20250829/position_scores_size_32.csv
ns_dog_214,resnet50_tl_20250829,64,32,96,0,128.0,32.0,0.42857142857142855,0.0,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.14285714285714285,134.8970947265625,120.2909164428711,14.606178283691406,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_214/resnet50_tl_20250829/position_scores_size_64.csv
ns_dog_350,resnet50_geirhos_tl,8,4,96,8,100.0,12.0,0.42857142857142855,0.03571428571428571,0.4642857142857143,0.07142857142857142,0.44642857142857145,0.05357142857142857,4.108235359191895,3.603266716003418,0.5049686431884766,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_350/resnet50_geirhos_tl/position_scores_size_8.csv
ns_dog_350,resnet50_geirhos_tl,16,8,80,0,88.0,8.0,0.35714285714285715,0.0,0.42857142857142855,0.07142857142857142,0.39285714285714285,0.03571428571428571,4.108235359191895,3.267619609832764,0.8406157493591309,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_350/resnet50_geirhos_tl/position_scores_size_16.csv
ns_dog_350,resnet50_geirhos_tl,32,16,80,0,96.0,16.0,0.35714285714285715,0.0,0.5,0.14285714285714285,0.42857142857142855,0.07142857142857142,4.108235359191895,2.409111976623535,1.6991233825683594,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_350/resnet50_geirhos_tl/position_scores_size_32.csv
ns_dog_350,resnet50_geirhos_tl,64,32,32,32,64.0,64.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,4.108235359191895,1.0300638675689695,3.078171491622925,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_350/resnet50_geirhos_tl/position_scores_size_64.csv
ns_dog_350,resnet50_tl_20250829,8,4,144,172,148.0,176.0,0.6428571428571429,0.7678571428571429,0.6785714285714286,0.8035714285714286,0.6607142857142857,0.7857142857142857,125.40467834472656,124.42385864257812,0.9808197021484376,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_350/resnet50_tl_20250829/position_scores_size_8.csv
ns_dog_350,resnet50_tl_20250829,16,8,144,168,152.0,176.0,0.6428571428571429,0.75,0.7142857142857143,0.8214285714285714,0.6785714285714286,0.7857142857142857,125.40467834472656,124.13059997558594,1.274078369140625,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_350/resnet50_tl_20250829/position_scores_size_16.csv
ns_dog_350,resnet50_tl_20250829,32,16,160,32,176.0,48.0,0.7142857142857143,0.14285714285714285,0.8571428571428571,0.2857142857142857,0.7857142857142857,0.21428571428571427,125.40467834472656,120.08108520507812,5.3235931396484375,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_350/resnet50_tl_20250829/position_scores_size_32.csv
ns_dog_350,resnet50_tl_20250829,64,32,160,0,192.0,32.0,0.7142857142857143,0.0,1.0,0.2857142857142857,0.8571428571428571,0.14285714285714285,125.40467834472656,113.1005401611328,12.30413818359375,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_350/resnet50_tl_20250829/position_scores_size_64.csv
ns_dog_69,resnet50_geirhos_tl,8,4,164,156,168.0,160.0,0.7321428571428571,0.6964285714285714,0.7678571428571429,0.7321428571428571,0.75,0.7142857142857143,8.057964324951172,7.74041223526001,0.3175520896911621,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_69/resnet50_geirhos_tl/position_scores_size_8.csv
ns_dog_69,resnet50_geirhos_tl,16,8,184,96,192.0,104.0,0.8214285714285714,0.42857142857142855,0.8928571428571429,0.5,0.8571428571428571,0.4642857142857143,8.057964324951172,7.216588973999023,0.8413753509521484,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_69/resnet50_geirhos_tl/position_scores_size_16.csv
ns_dog_69,resnet50_geirhos_tl,32,16,32,96,48.0,112.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.21428571428571427,0.5,8.057964324951172,5.75670862197876,2.301255702972412,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_69/resnet50_geirhos_tl/position_scores_size_32.csv
ns_dog_69,resnet50_geirhos_tl,64,32,96,96,128.0,128.0,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.5714285714285714,8.057964324951172,4.526764392852783,3.5311999320983887,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_69/resnet50_geirhos_tl/position_scores_size_64.csv
