case_id,model_type,occluder_size,case_base_id,n_clusters,debiased_entropy,max_debiased_mass_prop,top2_debiased_mass_prop,effective_n_hypotheses,sum_mass_debias_nonnegative,mean_cluster_n_shapes
ns_lion_650,texture_biased,32,ns_lion_650,10.0,2.1781557410595944,0.2140972621492343,0.3751036162457545,8.83000641450043,3145.8257531663558,25.0
ns_lion_650,texture_biased,64,ns_lion_650,10.0,2.2605644342728493,0.1713528895227992,0.3076983446091573,9.588499717536372,3450.706867511071,25.0
ns_lion_780,shape_biased,8,ns_lion_780,10.0,2.2552189387258212,0.1606231988678629,0.31851587898729794,9.537381183664259,2371.863980539153,25.0
ns_lion_780,shape_biased,16,ns_lion_780,10.0,2.2585875551179218,0.15849632268796437,0.2905628263487383,9.569563136151341,2661.288614158918,25.0
ns_lion_780,shape_biased,32,ns_lion_780,10.0,2.2241348829578937,0.17304039189808929,0.3328806225900877,9.245480920016526,3754.1506782901433,25.0
ns_lion_780,shape_biased,64,ns_lion_780,10.0,2.15004988178949,0.27455018036434736,0.4199009310399284,8.585286635957832,5489.531583619494,25.0
ns_lion_780,texture_biased,8,ns_lion_780,10.0,2.302585067303653,0.10003501063048682,0.200062262307423,9.999999743096076,1256.8113785118462,25.0
ns_lion_780,texture_biased,16,ns_lion_780,10.0,2.2599835106350694,0.1973025249117291,0.2931592368056863,9.582931149012754,1808.2803317789178,25.0
ns_lion_780,texture_biased,32,ns_lion_780,10.0,2.2568423625635603,0.17220479101914304,0.32733069024619427,9.552876970338891,2185.4829883358793,25.0
ns_lion_780,texture_biased,64,ns_lion_780,10.0,2.302075535121329,0.10205267864537476,0.20385914348191816,9.994905719298478,1802.3556979578887,25.0
ns_lion_801,shape_biased,8,ns_lion_801,10.0,2.2484396684571033,0.16608861229414684,0.31623453513830446,9.472943366442276,3583.543645361157,25.0
ns_lion_801,shape_biased,16,ns_lion_801,10.0,2.281637286821994,0.1520959459219813,0.2734952708060103,9.792700750894353,3001.784766382811,25.0
ns_lion_801,shape_biased,32,ns_lion_801,10.0,2.2107455166717536,0.2311001043117538,0.3540176328910443,9.122514845451223,4165.622457763473,25.0
ns_lion_801,shape_biased,64,ns_lion_801,10.0,2.1217344131542,0.23471653348276603,0.40768431608789757,8.345599660201499,7164.514864691302,25.0
ns_lion_801,texture_biased,8,ns_lion_801,10.0,2.3025850442621594,0.10005427017344212,0.20008910271418973,9.999999512681148,1334.277257737243,25.0
ns_lion_801,texture_biased,16,ns_lion_801,10.0,2.2976194186531123,0.12325092141718282,0.23389587592001843,9.95046634238004,1718.0574952765155,25.0
ns_lion_801,texture_biased,32,ns_lion_801,10.0,2.170280268095312,0.24791741160707628,0.3721059989118696,8.760739052341778,7385.622780527451,25.0
ns_lion_801,texture_biased,64,ns_lion_801,10.0,2.2822632011139583,0.15028527385269858,0.2792749235912548,9.798832060888373,2877.624063763089,25.0
s_bird_111,shape_biased,8,s_bird_111,10.0,2.287610818300701,0.13845947088807697,0.26016151727848524,9.851372822357707,1971.6863356435388,25.0
s_bird_111,shape_biased,16,s_bird_111,10.0,2.2448913472780543,0.20453393138517925,0.32504240411349505,9.439389885335833,3034.957664939775,25.0
s_bird_111,shape_biased,32,s_bird_111,10.0,2.261570321398496,0.16057930283006805,0.30807877475029033,9.598149518448114,4484.0702525974975,25.0
s_bird_111,shape_biased,64,s_bird_111,10.0,2.257656823697075,0.17003620168589484,0.2992211071490849,9.560660586640687,4243.160656359835,25.0
s_bird_111,texture_biased,8,s_bird_111,10.0,2.3025754485216527,0.10048645264613458,0.2009138924304546,9.999903555741149,9999.999999989986,25.0
s_bird_111,texture_biased,16,s_bird_111,10.0,2.301615357087096,0.11346567056226524,0.21200663157105026,9.990307341349636,1284.0208150308413,25.0
s_bird_111,texture_biased,32,s_bird_111,10.0,2.302584974090915,0.10006353209035992,0.20012468688053558,9.999998810968764,1307.8631392441237,25.0
s_bird_111,texture_biased,64,s_bird_111,10.0,2.302584822079555,0.1001001385961143,0.20018377943796833,9.999997290855461,1389.2518360961774,25.0
s_bird_117,shape_biased,8,s_bird_117,10.0,2.2304790685812197,0.21895648908177417,0.33503765475962805,9.304322420493069,3064.9147039917716,25.0
s_bird_117,shape_biased,16,s_bird_117,10.0,2.284851997336213,0.12650601520983673,0.2519884558150456,9.824232103892156,3409.0502223299864,25.0
s_bird_117,shape_biased,32,s_bird_117,10.0,2.095046966260014,0.33026120896469363,0.43176321191103906,8.125822600747773,4160.194128557081,25.0
s_bird_117,shape_biased,64,s_bird_117,10.0,2.238889107562515,0.19140570281609506,0.3346431068164193,9.382902100677661,5579.591866113496,25.0
s_bird_117,texture_biased,8,s_bird_117,7.0,1.3328283425721816,0.4648029148633843,0.7612343117993168,3.791752611086448,9999.999999990017,25.0
s_bird_117,texture_biased,16,s_bird_117,10.0,2.302584942184765,0.10008211393846252,0.20014761108696863,9.999998491907306,3043.4187944393107,25.0
s_bird_117,texture_biased,32,s_bird_117,10.0,2.3025850355929705,0.100051604509094,0.2000923712276999,9.999999425989264,1932.5145116123397,25.0
s_bird_117,texture_biased,64,s_bird_117,10.0,2.2715626836443668,0.1579547108139031,0.29098977009564586,9.69453848002327,3715.8397421291456,25.0
s_bird_132,shape_biased,8,s_bird_132,10.0,2.27044938745015,0.147591323702218,0.2808036836617741,9.683751592843125,3261.5141888492035,25.0
s_bird_132,shape_biased,16,s_bird_132,10.0,2.278003920256306,0.1397007027585365,0.26449301532356784,9.757184839632027,4980.240148897633,25.0
s_bird_132,shape_biased,32,s_bird_132,10.0,2.177630440204953,0.19250198860033765,0.35327160515334105,8.825369222651457,4748.810705668798,25.0
s_bird_132,shape_biased,64,s_bird_132,10.0,2.2779423991420873,0.14781697141801575,0.2638338693319628,9.756584585213405,3348.4501883232356,25.0
s_bird_132,texture_biased,8,s_bird_132,10.0,2.3025842728510426,0.10017902098410922,0.20032589692107558,9.999991798573332,5900.218704343915,25.0
s_bird_132,texture_biased,16,s_bird_132,10.0,2.3025849755489314,0.10007021330488365,0.20012526813317055,9.999998825548925,1399.4623945008593,25.0
s_bird_132,texture_biased,32,s_bird_132,10.0,2.29066284542704,0.13611406290060446,0.2523352199305342,9.881485408283204,1509.2720960187098,25.0
s_bird_132,texture_biased,64,s_bird_132,10.0,2.204234745670515,0.20471771899339947,0.34843419070561116,9.063313173731267,3651.537459097236,25.0
s_bird_136,shape_biased,8,s_bird_136,10.0,2.2736337485591043,0.1591169818873099,0.2746421697597937,9.714637304334575,2488.535915535206,25.0
s_bird_136,shape_biased,16,s_bird_136,10.0,2.3025839622138067,0.10019808289738592,0.20036646086244736,9.999988692204003,1720.025924042811,25.0
s_bird_136,shape_biased,32,s_bird_136,10.0,2.292875168692168,0.13462204765149768,0.24904825327399,9.903370648032288,3095.2821214200994,25.0
s_bird_136,shape_biased,64,s_bird_136,10.0,2.181468991904472,0.24160817916816563,0.36969787799097664,8.859310960561675,4595.333997116908,25.0
s_bird_136,texture_biased,8,s_bird_136,10.0,2.30258506794618,0.10003436767603552,0.2000617980555842,9.999999749521345,1256.772216732215,25.0
s_bird_136,texture_biased,16,s_bird_136,10.0,2.2891381279388856,0.14820178662135422,0.2612050099776513,9.866430414894712,1584.6455746119102,25.0
s_bird_136,texture_biased,32,s_bird_136,10.0,2.3020156092906525,0.1050630803505963,0.20980750233495632,9.994306784216738,1310.318428314641,25.0
s_bird_136,texture_biased,64,s_bird_136,10.0,2.205365735029824,0.2133803697959376,0.35670898258728667,9.07356948328606,3164.0504517939794,25.0
s_bird_137,shape_biased,8,s_bird_137,10.0,2.268957649769576,0.15791558466522654,0.3096076573977057,9.669316744882869,2219.547573311582,25.0
s_bird_137,shape_biased,16,s_bird_137,10.0,2.2528067437031947,0.16912271646428637,0.32465247465402697,9.514402885454372,3285.71681464051,25.0
s_bird_137,shape_biased,32,s_bird_137,10.0,2.2878284384963052,0.13332646417196586,0.25562101147291966,9.853516913328567,2618.1463772840284,25.0
s_bird_137,shape_biased,64,s_bird_137,10.0,2.2115530369466914,0.2016794486927889,0.3538199782654638,9.129884436293889,5346.646526321029,25.0
s_bird_137,texture_biased,8,s_bird_137,9.0,2.197215693914773,0.1116794612175751,0.22308469776566242,8.999920049562101,9999.999999989992,25.0
s_bird_137,texture_biased,16,s_bird_137,10.0,2.3025850679973945,0.10003441492042062,0.20006144585776725,9.99999975003349,1258.3507530706497,25.0
s_bird_137,texture_biased,32,s_bird_137,10.0,2.3025850650366215,0.10003638995141402,0.20006497484658928,9.999999720425762,1271.0971135439952,25.0
